,Participant_id,Chain_id,Generation,condition,Value,Group,Valence
0,1101,1,1,Avg_In_Neg,47.66666667,In,Neg
1,1102,1,2,Avg_In_Neg,47.24074074,In,Neg
2,1103,1,3,Avg_In_Neg,46.55555329,In,Neg
3,1104,1,4,Avg_In_Neg,47,In,Neg
4,1105,1,5,Avg_In_Neg,43.46296296,In,Neg
5,1106,1,6,Avg_In_Neg,42.48148148,In,Neg
6,1107,1,7,Avg_In_Neg,42.24074074,In,Neg
7,1108,1,8,Avg_In_Neg,42.55555556,In,Neg
8,1109,1,9,Avg_In_Neg,41.2037037,In,Neg
9,1110,1,10,Avg_In_Neg,47.16666667,In,Neg
10,1201,2,1,Avg_In_Neg,52.68518519,In,Neg
11,1202,2,2,Avg_In_Neg,52.81481481,In,Neg
12,1203,2,3,Avg_In_Neg,51.92592593,In,Neg
13,1204,2,4,Avg_In_Neg,50.61111111,In,Neg
14,1205,2,5,Avg_In_Neg,51.81481481,In,Neg
15,1206,2,6,Avg_In_Neg,52.07407407,In,Neg
16,1207,2,7,Avg_In_Neg,51.42592593,In,Neg
17,1208,2,8,Avg_In_Neg,49.33333333,In,Neg
18,1209,2,9,Avg_In_Neg,48.16666667,In,Neg
19,1210,2,10,Avg_In_Neg,48.75925926,In,Neg
20,1301,3,1,Avg_In_Neg,46.77765662,In,Neg
21,1302,3,2,Avg_In_Neg,44.33333333,In,Neg
22,1303,3,3,Avg_In_Neg,41.7037037,In,Neg
23,1304,3,4,Avg_In_Neg,39.09259259,In,Neg
24,1305,3,5,Avg_In_Neg,38.7037037,In,Neg
25,1306,3,6,Avg_In_Neg,35.83333333,In,Neg
26,1307,3,7,Avg_In_Neg,33.51851852,In,Neg
27,1308,3,8,Avg_In_Neg,33.57777744,In,Neg
28,1309,3,9,Avg_In_Neg,32.55555556,In,Neg
29,1310,3,10,Avg_In_Neg,26.68518519,In,Neg
30,1401,4,1,Avg_In_Neg,49.01851852,In,Neg
31,1402,4,2,Avg_In_Neg,48.7037037,In,Neg
32,1403,4,3,Avg_In_Neg,41.64814815,In,Neg
33,1404,4,4,Avg_In_Neg,42.03703704,In,Neg
34,1405,4,5,Avg_In_Neg,39.57407407,In,Neg
35,1406,4,6,Avg_In_Neg,34.40740741,In,Neg
36,1407,4,7,Avg_In_Neg,25.85185185,In,Neg
37,1408,4,8,Avg_In_Neg,31.72222222,In,Neg
38,1409,4,9,Avg_In_Neg,31.61111111,In,Neg
39,1410,4,10,Avg_In_Neg,21.77777778,In,Neg
40,1501,5,1,Avg_In_Neg,45.11111111,In,Neg
41,1502,5,2,Avg_In_Neg,43.33333333,In,Neg
42,1503,5,3,Avg_In_Neg,42.53703704,In,Neg
43,1504,5,4,Avg_In_Neg,40.14814815,In,Neg
44,1505,5,5,Avg_In_Neg,38.2962963,In,Neg
45,1506,5,6,Avg_In_Neg,34.38888889,In,Neg
46,1507,5,7,Avg_In_Neg,35.31481481,In,Neg
47,1508,5,8,Avg_In_Neg,34.77777778,In,Neg
48,1509,5,9,Avg_In_Neg,34.62962963,In,Neg
49,1510,5,10,Avg_In_Neg,30.22222222,In,Neg
50,1601,6,1,Avg_In_Neg,47.05555556,In,Neg
51,1602,6,2,Avg_In_Neg,44.53703704,In,Neg
52,1603,6,3,Avg_In_Neg,42.14814815,In,Neg
53,1604,6,4,Avg_In_Neg,38.90740741,In,Neg
54,1605,6,5,Avg_In_Neg,39.46296296,In,Neg
55,1606,6,6,Avg_In_Neg,43.66666667,In,Neg
56,1607,6,7,Avg_In_Neg,43.33333333,In,Neg
57,1608,6,8,Avg_In_Neg,44.42592593,In,Neg
58,1609,6,9,Avg_In_Neg,41.48148191,In,Neg
59,1610,6,10,Avg_In_Neg,38.88888889,In,Neg
60,1701,7,1,Avg_In_Neg,54.51851852,In,Neg
61,1702,7,2,Avg_In_Neg,55.07407407,In,Neg
62,1703,7,3,Avg_In_Neg,55.16666667,In,Neg
63,1704,7,4,Avg_In_Neg,52.98148148,In,Neg
64,1705,7,5,Avg_In_Neg,49.46296296,In,Neg
65,1706,7,6,Avg_In_Neg,49.64814815,In,Neg
66,1707,7,7,Avg_In_Neg,54.62962963,In,Neg
67,1708,7,8,Avg_In_Neg,54.5,In,Neg
68,1709,7,9,Avg_In_Neg,49.2037037,In,Neg
69,1710,7,10,Avg_In_Neg,39.74074074,In,Neg
70,1801,8,1,Avg_In_Neg,50.11111111,In,Neg
71,1802,8,2,Avg_In_Neg,49.37037037,In,Neg
72,1803,8,3,Avg_In_Neg,42.48148148,In,Neg
73,1804,8,4,Avg_In_Neg,40.74074074,In,Neg
74,1805,8,5,Avg_In_Neg,40.9629607,In,Neg
75,1806,8,6,Avg_In_Neg,39.09259259,In,Neg
