,Participant,Number,Response difference,Response,Grid10,Interval
0,0,1,0.7777777777777777,1.7777777777777777,0,5
1,1,1,0.0,1.0,0,5
2,2,1,-0.4444444444444444,0.5555555555555556,0,5
3,3,1,-0.5555555555555556,0.4444444444444444,0,5
4,4,1,-0.3333333333333332,0.6666666666666667,0,5
5,5,1,-0.4444444444444444,0.5555555555555556,0,5
6,6,1,-0.3333333333333332,0.6666666666666667,0,5
7,7,1,-0.6666666666666666,0.33333333333333337,0,5
8,8,1,-0.3333333333333332,0.6666666666666667,0,5
9,9,1,-0.1111111111111111,0.8888888888888888,0,5
10,10,1,0.0,1.0,0,5
11,11,1,-0.3333333333333332,0.6666666666666667,0,5
12,12,1,-0.7777777777777778,0.2222222222222222,0,5
13,13,1,-0.8888888888888888,0.11111111111111116,0,5
14,14,1,-0.2222222222222222,0.7777777777777778,0,5
15,15,1,-0.8888888888888888,0.11111111111111116,0,5
16,16,1,0.1111111111111111,1.1111111111111112,0,5
17,17,1,-0.5555555555555556,0.4444444444444444,0,5
18,18,1,-0.4444444444444444,0.5555555555555556,0,5
19,19,1,-0.3333333333333332,0.6666666666666667,0,5
20,20,1,-0.3333333333333332,0.6666666666666667,0,5
21,21,1,-0.6666666666666666,0.33333333333333337,0,5
22,22,1,-0.7777777777777778,0.2222222222222222,0,5
23,23,1,0.0,1.0,0,5
24,24,1,-0.4444444444444444,0.5555555555555556,0,5
25,25,1,-0.8888888888888888,0.11111111111111116,0,5
26,26,1,-0.4444444444444444,0.5555555555555556,0,5
27,27,1,-0.2222222222222222,0.7777777777777778,0,5
28,28,1,-0.6666666666666666,0.33333333333333337,0,5
29,29,1,-0.8888888888888888,0.11111111111111116,0,5
30,0,2,0.1111111111111111,2.111111111111111,0,5
31,1,2,0.0,2.0,0,5
32,2,2,-1.4444444444444444,0.5555555555555556,0,5
33,3,2,-0.8888888888888888,1.1111111111111112,0,5
34,4,2,-0.7777777777777777,1.2222222222222223,0,5
35,5,2,-1.6666666666666663,0.3333333333333337,0,5
36,6,2,-0.8888888888888888,1.1111111111111112,0,5
37,7,2,-1.3333333333333333,0.6666666666666667,0,5
38,8,2,-1.3333333333333333,0.6666666666666667,0,5
39,9,2,0.8888888888888888,2.888888888888889,0,5
40,10,2,-0.1111111111111111,1.8888888888888888,0,5
41,11,2,-0.4444444444444444,1.5555555555555556,0,5
42,12,2,-1.7777777777777777,0.22222222222222232,0,5
43,13,2,-0.6666666666666665,1.3333333333333335,0,5
44,14,2,-0.6666666666666665,1.3333333333333335,0,5
45,15,2,-1.5555555555555556,0.4444444444444444,0,5
46,16,2,-1.3333333333333333,0.6666666666666667,0,5
47,17,2,-0.8888888888888888,1.1111111111111112,0,5
48,18,2,1.0,3.0,0,5
49,19,2,-1.0,1.0,0,5
50,20,2,-0.6666666666666665,1.3333333333333335,0,5
51,21,2,-1.1111111111111112,0.8888888888888888,0,5
52,22,2,-1.7777777777777777,0.22222222222222232,0,5
53,23,2,0.2222222222222223,2.2222222222222223,0,5
54,24,2,-1.5555555555555556,0.4444444444444444,0,5
55,25,2,-1.5555555555555556,0.4444444444444444,0,5
56,26,2,-1.3333333333333333,0.6666666666666667,0,5
57,27,2,-0.2222222222222223,1.7777777777777777,0,5
58,28,2,-1.2222222222222223,0.7777777777777777,0,5
59,29,2,-1.3333333333333333,0.6666666666666667,0,5
60,0,3,4.000000000000001,7.000000000000001,0,5
61,1,3,-0.333333333333333,2.666666666666667,0,5
62,2,3,-1.5555555555555556,1.4444444444444444,0,5
63,3,3,-0.5555555555555554,2.4444444444444446,0,5
64,4,3,-1.8888888888888888,1.1111111111111112,0,5
65,5,3,-1.8888888888888888,1.1111111111111112,0,5
66,6,3,-1.1111111111111112,1.8888888888888888,0,5
67,7,3,-1.5555555555555556,1.4444444444444444,0,5
68,8,3,-1.8888888888888888,1.1111111111111112,0,5
69,9,3,0.4444444444444446,3.4444444444444446,0,5
70,10,3,0.3333333333333335,3.3333333333333335,0,5
71,11,3,-0.7777777777777777,2.2222222222222223,0,5
72,12,3,-2.4444444444444446,0.5555555555555554,0,5
73,13,3,-1.8888888888888888,1.1111111111111112,0,5
74,14,3,-1.3333333333333333,1.6666666666666667,0,5
75,15,3,-2.0,1.0,0,5
76,16,3,-2.2222222222222223,0.7777777777777777,0,5
77,17,3,-1.6666666666666663,1.3333333333333337,0,5
78,18,3,0.0,3.0,0,5
79,19,3,-1.0,2.0,0,5
80,20,3,-1.0,2.0,0,5
81,21,3,-1.8888888888888888,1.1111111111111112,0,5
82,22,3,-2.555555555555556,0.4444444444444442,0,5
83,23,3,-0.333333333333333,2.666666666666667,0,5
84,24,3,-2.2222222222222223,0.7777777777777777,0,5
85,25,3,-2.555555555555556,0.4444444444444442,0,5
86,26,3,-1.8888888888888888,1.1111111111111112,0,5
87,27,3,0.1111111111111111,3.111111111111111,0,5
88,28,3,-1.1111111111111112,1.8888888888888888,0,5
89,29,3,2.111111111111112,5.1111111111111125,0,5
90,0,4,1.4444444444444438,5.444444444444444,0,5
91,1,4,-1.333333333333333,2.666666666666667,0,5
92,2,4,-1.4444444444444442,2.555555555555556,0,5
93,3,4,0.2222222222222223,4.222222222222222,0,5
94,4,4,-3.2222222222222223,0.7777777777777777,0,5
95,5,4,-2.333333333333333,1.666666666666667,0,5
96,6,4,1.1111111111111116,5.111111111111112,0,5
