,participant_num,Attractive,Political,Religious,Corrupt,Dishonest,Lazy,Without empathy,Impolite,Cowardly,Trendy,Busy,Traditional,Predictable,Introverted,Mystical,Friendly,Intelligent,Honorable,Skillful,Charismatic,Creative,RT_Attractive,RT_Political,RT_Religious,RT_Corrupt,RT_Dishonest,RT_Lazy,RT_Without empathy,RT_Impolite,RT_Cowardly,RT_Trendy,RT_Busy,RT_Traditional,RT_Predictable,RT_Introverted,RT_Mystical,RT_Friendly,RT_Intelligent,RT_Honorable,RT_Skillful,RT_Charismatic,RT_Creative,Negative,Neutral,Positive,RT_Negative,RT_Neutral,RT_Positive
0,1.0,36.0,39.0,76.0,44.0,37.0,46.0,34.0,36.0,67.0,62.0,32.0,78.0,71.0,50.0,35.0,63.0,38.0,26.0,26.0,38.0,25.0,2543.0,4730.0,3045.0,10103.0,5964.0,6081.0,4521.0,6066.0,6722.0,4241.0,7958.0,6947.0,4424.0,9817.0,3305.0,3731.0,7810.0,3618.0,5774.0,6088.0,2450.0,39.4,58.6,38.2,6547.0,6677.4,5404.2
1,2.0,91.0,81.0,91.0,6.0,29.0,30.0,21.0,10.0,70.0,70.0,71.0,72.0,50.0,50.0,50.0,91.0,50.0,70.0,81.0,50.0,60.0,3948.0,3963.0,5483.0,5067.0,4900.0,5732.0,5750.0,6263.0,6991.0,4515.0,4215.0,3932.0,4427.0,4709.0,3545.0,5308.0,6468.0,3815.0,3910.0,4013.0,3349.0,19.2,62.6,68.4,5542.4,4359.6,4702.8
2,4.0,62.0,60.0,31.0,15.0,20.0,28.0,80.0,72.0,59.0,29.0,39.0,77.0,60.0,36.0,39.0,92.0,20.0,19.0,50.0,85.0,73.0,1385.0,1559.0,1989.0,1563.0,2198.0,1984.0,1761.0,1445.0,1558.0,1853.0,1320.0,1625.0,2220.0,1454.0,1328.0,1527.0,1555.0,1427.0,4435.0,2010.0,1099.0,43.0,48.2,53.2,1790.2,1694.4,2190.8
3,5.0,29.0,26.0,9.0,54.0,53.0,42.0,72.0,57.0,38.0,37.0,70.0,35.0,54.0,43.0,38.0,65.0,46.0,40.0,13.0,15.0,61.0,3652.0,2436.0,3265.0,2383.0,5368.0,7349.0,3123.0,3033.0,1978.0,2589.0,7967.0,4876.0,4171.0,4296.0,2663.0,3108.0,2647.0,2807.0,3215.0,3336.0,3102.0,55.6,47.8,35.8,4251.2,4779.8,3022.6
4,6.0,50.0,82.0,41.0,36.0,49.0,65.0,67.0,41.0,31.0,60.0,64.0,50.0,65.0,72.0,29.0,70.0,67.0,41.0,58.0,41.0,49.0,3497.0,2554.0,1810.0,2647.0,2636.0,2446.0,2246.0,2038.0,4212.0,2489.0,1744.0,2021.0,1568.0,2474.0,2041.0,2330.0,1644.0,2400.0,810.0,1212.0,1749.0,51.6,62.2,55.4,2402.6,2059.2,1679.2
5,7.0,0.0,73.0,77.0,27.0,30.0,36.0,17.0,36.0,24.0,43.0,75.0,67.0,51.0,34.0,47.0,67.0,59.0,66.0,34.0,68.0,44.0,11724.0,1454.0,2015.0,2767.0,6527.0,1537.0,3370.0,2255.0,2280.0,1143.0,3479.0,1567.0,5024.0,2108.0,2367.0,1463.0,2191.0,1879.0,2991.0,1895.0,2344.0,29.2,54.0,58.8,3291.2,2664.2,2083.8
6,8.0,63.0,60.0,35.0,20.0,45.0,80.0,59.0,55.0,65.0,60.0,70.0,81.0,50.0,50.0,20.0,80.0,80.0,36.0,35.0,40.0,60.0,10098.0,11199.0,8061.0,12612.0,14068.0,9731.0,8727.0,10566.0,8392.0,12469.0,7723.0,10181.0,13876.0,7122.0,12375.0,8661.0,11287.0,14826.0,18504.0,12328.0,10250.0,51.8,62.2,54.2,11140.8,10274.2,13121.2
7,9.0,49.0,40.0,41.0,61.0,51.0,70.0,34.0,42.0,57.0,38.0,79.0,70.0,79.0,59.0,40.0,49.0,59.0,68.0,73.0,60.0,60.0,4570.0,2056.0,2717.0,3155.0,7560.0,6202.0,4301.0,13569.0,3746.0,3097.0,4609.0,2294.0,4650.0,8649.0,2614.0,3601.0,2498.0,3000.0,9801.0,4362.0,4050.0,51.6,65.0,61.8,6957.4,4659.8,4652.4
8,10.0,100.0,30.0,90.0,80.0,80.0,70.0,20.0,40.0,30.0,40.0,70.0,40.0,70.0,50.0,20.0,91.0,30.0,60.0,80.0,40.0,40.0,13764.0,9045.0,4878.0,12059.0,6522.0,7383.0,8117.0,27463.0,9145.0,10116.0,9844.0,6758.0,5424.0,19144.0,5843.0,4939.0,9037.0,5968.0,7840.0,4259.0,12706.0,58.0,54.0,60.2,12308.8,10257.2,6408.6
9,12.0,50.0,40.0,63.0,85.0,84.0,39.0,71.0,44.0,68.0,59.0,73.0,81.0,79.0,59.0,52.0,67.0,49.0,53.0,71.0,50.0,49.0,9182.0,10185.0,7175.0,6350.0,5942.0,9661.0,3540.0,6846.0,8674.0,3967.0,6694.0,3762.0,6268.0,4027.0,6793.0,5941.0,10417.0,3164.0,4563.0,5613.0,7998.0,64.6,70.2,58.0,6467.8,4943.6,5939.6
